iter,type,temperature,oldFitness,newFitness,bestFitness,delta,improveTotal,stagnation
[IMPROVE] Iter=54415 | T=204.437 | NewBest=108380 | Δ=50 | ImproveTotal=217
[IMPROVE] Iter=54432 | T=204.029 | NewBest=108376 | Δ=17 | ImproveTotal=218
[IMPROVE] Iter=54433 | T=204.029 | NewBest=108374 | Δ=2 | ImproveTotal=219
[IMPROVE] Iter=54965 | T=193.491 | NewBest=108367 | Δ=286 | ImproveTotal=220
[IMPROVE] Iter=54971 | T=193.298 | NewBest=108114 | Δ=269 | ImproveTotal=221
[IMPROVE] Iter=55397 | T=185.344 | NewBest=108071 | Δ=63 | ImproveTotal=222
[IMPROVE] Iter=55401 | T=185.158 | NewBest=108043 | Δ=134 | ImproveTotal=223
[IMPROVE] Iter=55516 | T=183.132 | NewBest=107946 | Δ=134 | ImproveTotal=224
[IMPROVE] Iter=55518 | T=183.132 | NewBest=107898 | Δ=48 | ImproveTotal=225
[IMPROVE] Iter=56382 | T=167.865 | NewBest=107897 | Δ=11 | ImproveTotal=226
[IMPROVE] Iter=56397 | T=167.697 | NewBest=107892 | Δ=13 | ImproveTotal=227
[IMPROVE] Iter=56399 | T=167.697 | NewBest=107788 | Δ=104 | ImproveTotal=228
[IMPROVE] Iter=56404 | T=167.53 | NewBest=107781 | Δ=50 | ImproveTotal=229
[IMPROVE] Iter=56407 | T=167.53 | NewBest=107778 | Δ=24 | ImproveTotal=230
[IMPROVE] Iter=56408 | T=167.53 | NewBest=107775 | Δ=3 | ImproveTotal=231
[IMPROVE] Iter=56409 | T=167.53 | NewBest=107751 | Δ=24 | ImproveTotal=232
[IMPROVE] Iter=56549 | T=165.2 | NewBest=107741 | Δ=26 | ImproveTotal=233
[IMPROVE] Iter=56589 | T=164.54 | NewBest=107692 | Δ=68 | ImproveTotal=234
[IMPROVE] Iter=56594 | T=164.375 | NewBest=107673 | Δ=109 | ImproveTotal=235
[IMPROVE] Iter=56601 | T=164.211 | NewBest=107656 | Δ=21 | ImproveTotal=236
[IMPROVE] Iter=56611 | T=164.047 | NewBest=107605 | Δ=159 | ImproveTotal=237
[IMPROVE] Iter=56613 | T=164.047 | NewBest=107481 | Δ=126 | ImproveTotal=238
[IMPROVE] Iter=56616 | T=164.047 | NewBest=107424 | Δ=57 | ImproveTotal=239
[IMPROVE] Iter=56681 | T=162.902 | NewBest=107406 | Δ=33 | ImproveTotal=240
[IMPROVE] Iter=57466 | T=150.672 | NewBest=107250 | Δ=233 | ImproveTotal=241
[IMPROVE] Iter=57468 | T=150.672 | NewBest=107204 | Δ=46 | ImproveTotal=242
[IMPROVE] Iter=57469 | T=150.672 | NewBest=107051 | Δ=153 | ImproveTotal=243
[IMPROVE] Iter=57476 | T=150.522 | NewBest=106997 | Δ=58 | ImproveTotal=244
[IMPROVE] Iter=57545 | T=149.471 | NewBest=106979 | Δ=29 | ImproveTotal=245
[IMPROVE] Iter=57546 | T=149.471 | NewBest=106918 | Δ=61 | ImproveTotal=246
[IMPROVE] Iter=57737 | T=146.657 | NewBest=106900 | Δ=99 | ImproveTotal=247
[IMPROVE] Iter=57739 | T=146.657 | NewBest=106889 | Δ=11 | ImproveTotal=248
[IMPROVE] Iter=57741 | T=146.51 | NewBest=106888 | Δ=1 | ImproveTotal=249
[IMPROVE] Iter=57742 | T=146.51 | NewBest=106873 | Δ=15 | ImproveTotal=250
[IMPROVE] Iter=57749 | T=146.51 | NewBest=106860 | Δ=27 | ImproveTotal=251
[IMPROVE] Iter=57988 | T=143.034 | NewBest=106845 | Δ=219 | ImproveTotal=252
[IMPROVE] Iter=63130 | T=85.5264 | NewBest=106812 | Δ=47 | ImproveTotal=253
[IMPROVE] Iter=63135 | T=85.4409 | NewBest=106768 | Δ=44 | ImproveTotal=254
[IMPROVE] Iter=63140 | T=85.4409 | NewBest=106755 | Δ=27 | ImproveTotal=255
[IMPROVE] Iter=63143 | T=85.3554 | NewBest=106747 | Δ=8 | ImproveTotal=256
[IMPROVE] Iter=63450 | T=82.8315 | NewBest=106743 | Δ=10 | ImproveTotal=257
[IMPROVE] Iter=63455 | T=82.7487 | NewBest=106726 | Δ=41 | ImproveTotal=258
[IMPROVE] Iter=63533 | T=82.089 | NewBest=106715 | Δ=70 | ImproveTotal=259
[IMPROVE] Iter=63569 | T=81.843 | NewBest=106713 | Δ=103 | ImproveTotal=260
[IMPROVE] Iter=63581 | T=81.6794 | NewBest=106653 | Δ=199 | ImproveTotal=261
[IMPROVE] Iter=63591 | T=81.5977 | NewBest=106580 | Δ=92 | ImproveTotal=262
[IMPROVE] Iter=63592 | T=81.5977 | NewBest=106572 | Δ=8 | ImproveTotal=263
[IMPROVE] Iter=63606 | T=81.5161 | NewBest=106570 | Δ=2 | ImproveTotal=264
[IMPROVE] Iter=63611 | T=81.4346 | NewBest=106538 | Δ=32 | ImproveTotal=265
[IMPROVE] Iter=63735 | T=80.4628 | NewBest=106524 | Δ=113 | ImproveTotal=266
[IMPROVE] Iter=63737 | T=80.4628 | NewBest=106514 | Δ=10 | ImproveTotal=267
[IMPROVE] Iter=63738 | T=80.4628 | NewBest=106448 | Δ=66 | ImproveTotal=268
[IMPROVE] Iter=63740 | T=80.4628 | NewBest=106417 | Δ=31 | ImproveTotal=269
[IMPROVE] Iter=63742 | T=80.3823 | NewBest=106398 | Δ=19 | ImproveTotal=270
[IMPROVE] Iter=63749 | T=80.3823 | NewBest=106375 | Δ=42 | ImproveTotal=271
[IMPROVE] Iter=63771 | T=80.1414 | NewBest=106350 | Δ=102 | ImproveTotal=272
[IMPROVE] Iter=63772 | T=80.1414 | NewBest=106321 | Δ=29 | ImproveTotal=273
[IMPROVE] Iter=63774 | T=80.1414 | NewBest=106232 | Δ=89 | ImproveTotal=274
[IMPROVE] Iter=63778 | T=80.1414 | NewBest=106202 | Δ=30 | ImproveTotal=275
[IMPROVE] Iter=63805 | T=79.9012 | NewBest=106191 | Δ=15 | ImproveTotal=276
[IMPROVE] Iter=63818 | T=79.8213 | NewBest=106179 | Δ=148 | ImproveTotal=277
