Folder,Instance,Run,Objective,Runtime,Iterations,Intensify,Diversify,Aspiration
200_5000,N_U_3,6,10839515,5.000,17550,0,0,0
200_5000,N_U_3,7,10727147,5.000,18715,0,0,0
200_5000,N_U_3,8,10763321,5.000,18276,0,0,0
200_5000,N_U_3,9,10794985,5.000,18208,0,0,0
200_5000,N_U_3,10,10801556,5.000,18878,0,0,0
200_5000,N_U_4,1,10879923,5.001,18180,0,0,0
200_5000,N_U_4,2,10885509,5.000,17706,0,0,0
200_5000,N_U_4,3,10801720,5.005,17143,1,0,0
200_5000,N_U_4,4,11136292,5.000,17212,0,0,0
200_5000,N_U_4,5,10851494,5.000,18010,0,0,0
200_5000,N_U_4,6,11016632,5.001,18204,0,0,0
200_5000,N_U_4,7,11001000,5.000,17639,0,0,0
200_5000,N_U_4,8,11028294,5.000,17546,0,0,0
200_5000,N_U_4,9,11085764,5.000,17507,1,0,0
200_5000,N_U_4,10,11170254,5.000,16716,0,0,0
200_5000,N_U_5,1,11507396,5.000,17650,0,0,0
200_5000,N_U_5,2,11503159,5.001,17360,0,0,0
200_5000,N_U_5,3,11539702,5.000,17494,1,0,0
200_5000,N_U_5,4,11420433,5.000,17771,0,0,0
200_5000,N_U_5,5,11589590,5.000,17662,0,0,0
200_5000,N_U_5,6,11310780,5.000,19153,1,0,0
200_5000,N_U_5,7,11403764,5.000,17918,0,0,0
200_5000,N_U_5,8,11410168,5.000,18023,0,0,0
200_5000,N_U_5,9,11430971,5.000,17647,0,0,0
200_5000,N_U_5,10,11479050,5.000,18110,0,0,0
200_5000,U_N_1,1,2566268,5.010,11065,13,0,0
200_5000,U_N_1,2,2571716,5.002,10287,16,0,0
200_5000,U_N_1,3,2574069,5.042,10751,15,0,0
200_5000,U_N_1,4,2567205,5.000,10416,18,0,0
200_5000,U_N_1,5,2572103,5.035,10932,16,0,0
200_5000,U_N_1,6,2567914,5.025,11023,20,2,0
200_5000,U_N_1,7,2567163,5.000,11408,15,0,0
200_5000,U_N_1,8,2568255,5.035,10910,13,0,0
200_5000,U_N_1,9,2577473,5.001,10788,11,0,0
200_5000,U_N_1,10,2573987,5.000,10867,14,0,0
200_5000,U_N_2,1,9317519,5.000,13025,4,0,0
200_5000,U_N_2,2,9353269,5.001,13300,1,0,0
200_5000,U_N_2,3,9396477,5.001,12385,7,0,0
200_5000,U_N_2,4,9312098,5.000,12556,9,0,0
200_5000,U_N_2,5,9268640,5.027,13437,4,0,0
200_5000,U_N_2,6,9423652,5.041,13337,6,0,0
200_5000,U_N_2,7,9287452,5.001,13930,4,0,0
200_5000,U_N_2,8,9285206,5.015,13081,4,0,0
200_5000,U_N_2,9,9387450,5.000,12479,6,0,0
200_5000,U_N_2,10,9472675,5.000,12882,3,0,0
200_5000,U_N_3,1,31722577,5.000,13898,4,0,0
200_5000,U_N_3,2,32484080,5.000,13721,4,0,0
200_5000,U_N_3,3,32692209,5.000,13271,5,0,0
200_5000,U_N_3,4,32563564,5.000,13812,2,0,0
200_5000,U_N_3,5,33088653,5.000,13236,3,0,0
200_5000,U_N_3,6,32858558,5.000,13634,3,0,0
200_5000,U_N_3,7,32593717,5.017,13652,3,0,0
200_5000,U_N_3,8,32439008,5.000,13789,2,0,0
200_5000,U_N_3,9,33454400,5.000,12138,5,0,0
200_5000,U_N_3,10,31650893,5.000,15991,5,0,0
200_5000,U_N_4,1,58552380,5.000,21909,15,0,0
200_5000,U_N_4,2,59783349,5.000,21321,11,0,0
200_5000,U_N_4,3,59165108,5.000,19165,22,0,0
200_5000,U_N_4,4,59138482,5.000,21449,19,0,0
200_5000,U_N_4,5,59647699,5.000,19536,26,0,0
200_5000,U_N_4,6,58574669,5.009,20707,20,0,0
200_5000,U_N_4,7,58157656,5.000,21977,11,0,0
200_5000,U_N_4,8,59534808,5.002,20999,14,0,0
200_5000,U_N_4,9,59765545,5.000,20437,22,0,0
200_5000,U_N_4,10,58948411,5.000,21050,13,0,0
200_5000,U_N_5,1,2634488,5.019,18138,32,0,0
200_5000,U_N_5,2,2636159,5.002,17197,38,0,0
200_5000,U_N_5,3,2630723,5.000,17978,35,0,0
200_5000,U_N_5,4,2631893,5.000,17251,37,0,0
200_5000,U_N_5,5,2631883,5.000,17464,37,0,0
200_5000,U_N_5,6,2635359,5.000,17248,40,0,0
200_5000,U_N_5,7,2641477,5.000,17091,40,0,0
200_5000,U_N_5,8,2642401,5.000,14067,16,0,0
200_5000,U_N_5,9,2708601,5.002,10545,14,0,0
200_5000,U_N_5,10,2674742,5.000,11963,16,0,0
200_5000,U_U_1,1,2448478,5.001,8433,30,1,0
200_5000,U_U_1,2,2450823,5.000,8068,30,1,0
200_5000,U_U_1,3,2446589,5.000,9805,49,1,0
200_5000,U_U_1,4,2443811,5.012,12987,69,6,0
200_5000,U_U_1,5,2443945,5.000,13120,67,4,0
200_5000,U_U_1,6,2448405,5.000,12684,74,1,0
200_5000,U_U_1,7,2449576,5.001,13216,61,0,0
200_5000,U_U_1,8,2447863,5.018,12776,65,12,0
200_5000,U_U_1,9,2448304,5.001,12659,66,7,0
200_5000,U_U_1,10,2446316,5.000,13030,63,3,0
200_5000,U_U_2,1,3811413,5.000,27474,2,0,0
200_5000,U_U_2,2,3795870,5.000,27294,4,0,0
200_5000,U_U_2,3,3791896,5.000,27333,2,0,0
200_5000,U_U_2,4,3786510,5.000,27389,4,0,0
200_5000,U_U_2,5,3825067,5.000,27181,3,0,0
200_5000,U_U_2,6,3788604,5.000,27967,5,0,0
200_5000,U_U_2,7,3796348,5.000,26993,2,0,0
200_5000,U_U_2,8,3814357,5.000,26117,2,0,0
200_5000,U_U_2,9,3788496,5.000,27719,1,0,0
200_5000,U_U_2,10,3770655,5.000,28950,2,0,0
200_5000,U_U_3,1,10628961,5.000,26542,9,0,0
200_5000,U_U_3,2,10550956,5.000,26564,6,0,0
200_5000,U_U_3,3,10676917,5.000,26093,11,0,0
200_5000,U_U_3,4,10565031,5.000,27447,4,0,0
200_5000,U_U_3,5,10623969,5.017,26682,10,0,0
200_5000,U_U_3,6,10604787,5.000,26679,5,0,0
200_5000,U_U_3,7,10609324,5.000,26295,6,0,0
200_5000,U_U_3,8,10519477,5.000,27136,2,0,0
200_5000,U_U_3,9,10702620,5.000,25680,8,0,0
200_5000,U_U_3,10,10586998,5.000,26339,10,0,0
200_5000,U_U_4,1,2461173,5.000,12220,74,9,0
200_5000,U_U_4,2,2465160,5.000,12767,71,2,0
200_5000,U_U_4,3,2463289,5.012,12708,67,1,0
200_5000,U_U_4,4,2461352,5.000,13015,65,9,0
200_5000,U_U_4,5,2464413,5.000,12866,70,3,0
200_5000,U_U_4,6,2463914,5.000,12115,76,5,0
200_5000,U_U_4,7,2462679,5.000,12819,70,8,0
200_5000,U_U_4,8,2461331,5.000,12843,71,4,0
200_5000,U_U_4,9,2459280,5.000,12500,71,2,0
200_5000,U_U_4,10,2457855,5.000,12766,73,4,0
200_5000,U_U_5,1,2518409,5.000,13368,70,3,0
200_5000,U_U_5,2,2512226,5.000,13466,66,4,0
200_5000,U_U_5,3,2516889,5.000,13231,67,4,0
200_5000,U_U_5,4,2518341,5.000,13604,64,4,0
200_5000,U_U_5,5,2516927,5.000,13356,69,2,0
200_5000,U_U_5,6,2513254,5.001,13461,70,3,0
200_5000,U_U_5,7,2518356,5.000,13279,69,4,0
200_5000,U_U_5,8,2518441,5.000,13724,69,1,0
200_5000,U_U_5,9,2516915,5.004,13802,69,4,0
200_5000,U_U_5,10,2517689,5.000,13807,70,1,0
500_10000,N_N_1,1,71708981,5.000,17395,0,0,0
500_10000,N_N_1,2,70168277,5.000,17565,0,0,0
500_10000,N_N_1,3,70491434,5.000,17648,0,0,0
500_10000,N_N_1,4,70711416,5.000,17574,0,0,0
500_10000,N_N_1,5,71886971,5.000,16773,0,0,0
500_10000,N_N_1,6,71209669,5.001,17339,0,0,0
500_10000,N_N_1,7,71447811,5.000,17179,0,0,0
500_10000,N_N_1,8,72477530,5.000,16530,0,0,0
500_10000,N_N_1,9,72508930,5.000,16328,0,0,0
500_10000,N_N_1,10,71792328,5.000,17226,0,0,0
500_10000,N_N_2,1,5909337,5.000,13062,1,0,0
500_10000,N_N_2,2,5945089,5.041,12009,3,0,0
500_10000,N_N_2,3,6098478,5.001,11685,4,0,0
500_10000,N_N_2,4,6117997,5.000,11608,3,0,0
500_10000,N_N_2,5,6097817,5.001,11583,4,0,0
500_10000,N_N_2,6,6075300,5.094,12398,2,0,0
