Instance,Run,Objective,Runtime,Iterations,Machs,Jobs
61,5,1041,0.200003,48106,2,8
61,6,1041,0.200005,49843,2,8
61,7,1041,0.200008,46915,2,8
61,8,1041,0.200003,47223,2,8
61,9,1041,0.200004,42800,2,8
61,10,1041,0.200003,44113,2,8
62,1,857,0.200004,37260,2,8
62,2,857,0.200002,43522,2,8
62,3,857,0.200002,43773,2,8
62,4,857,0.200008,38967,2,8
62,5,857,0.200005,43222,2,8
62,6,857,0.2,35304,2,8
62,7,857,0.200002,44558,2,8
62,8,857,0.200004,40574,2,8
62,9,857,0.200001,44609,2,8
62,10,857,0.200002,40881,2,8
63,1,1376,0.200002,40162,2,8
63,2,1376,0.2,49000,2,8
63,3,1376,0.200004,40520,2,8
63,4,1376,0.200002,42693,2,8
63,5,1376,0.200001,43932,2,8
63,6,1376,0.200001,40353,2,8
63,7,1376,0.200002,44231,2,8
63,8,1376,0.200004,45437,2,8
63,9,1376,0.200001,43586,2,8
63,10,1376,0.200004,38832,2,8
64,1,661,0.200286,37096,2,8
64,2,661,0.200003,43607,2,8
64,3,661,0.200003,44526,2,8
64,4,661,0.200001,44810,2,8
64,5,661,0.200005,44980,2,8
64,6,661,0.200002,45675,2,8
64,7,661,0.200006,40725,2,8
64,8,661,0.200002,38091,2,8
64,9,661,0.200004,37800,2,8
64,10,661,0.200005,38948,2,8
65,1,673,0.200001,40585,2,8
65,2,673,0.200004,43410,2,8
65,3,673,0.200004,43991,2,8
65,4,673,0.200003,36413,2,8
65,5,673,0.213741,44541,2,8
65,6,673,0.200003,45283,2,8
65,7,673,0.200002,45078,2,8
65,8,673,0.200003,37414,2,8
65,9,673,0.2,35886,2,8
65,10,673,0.200002,44365,2,8
66,1,865,0.200024,39116,2,8
66,2,865,0.200002,42382,2,8
66,3,865,0.200002,44437,2,8
66,4,865,0.200004,45906,2,8
66,5,865,0.200032,36727,2,8
66,6,865,0.200001,44313,2,8
66,7,865,0.200002,42651,2,8
66,8,865,0.200004,39995,2,8
66,9,865,0.200006,41893,2,8
66,10,865,0.200004,42193,2,8
67,1,1346,0.200002,46790,2,8
67,2,1346,0.200001,41615,2,8
67,3,1346,0.200055,42064,2,8
67,4,1346,0.200002,45536,2,8
67,5,1346,0.200001,43374,2,8
67,6,1346,0.200001,42778,2,8
67,7,1346,0.200001,43392,2,8
67,8,1346,0.200001,42120,2,8
67,9,1346,0.200002,46106,2,8
67,10,1346,0.200001,44181,2,8
68,1,659,0.200001,40494,2,8
68,2,659,0.200003,37510,2,8
68,3,659,0.200001,42774,2,8
68,4,659,0.20001,40880,2,8
68,5,659,0.200005,42016,2,8
68,6,659,0.200002,38895,2,8
68,7,659,0.200002,41993,2,8
68,8,659,0.200003,41064,2,8
68,9,659,0.200001,39652,2,8
68,10,659,0.200003,35853,2,8
69,1,1523,0.200002,42790,2,8
69,2,1523,0.200003,48374,2,8
69,3,1523,0.200003,47183,2,8
69,4,1523,0.200004,46704,2,8
69,5,1523,0.200001,47552,2,8
69,6,1523,0.2,45379,2,8
69,7,1523,0.200004,46951,2,8
69,8,1523,0.200003,47526,2,8
69,9,1523,0.200003,47654,2,8
69,10,1523,0.200001,48165,2,8
70,1,720,0.2,46996,2,8
70,2,720,0.200001,43823,2,8
70,3,720,0.200002,43225,2,8
70,4,720,0.200001,45426,2,8
70,5,720,0.200003,43977,2,8
70,6,720,0.200003,41817,2,8
70,7,720,0.200001,42388,2,8
70,8,720,0.200004,45842,2,8
70,9,720,0.200001,39477,2,8
70,10,720,0.200004,43396,2,8
71,1,779,0.200002,42071,2,8
71,2,779,0.200001,42403,2,8
71,3,779,0.200001,38017,2,8
71,4,779,0.200002,36887,2,8
71,5,779,0.200003,37856,2,8
71,6,779,0.2,39917,2,8
71,7,779,0.200004,40715,2,8
71,8,779,0.200004,39727,2,8
71,9,779,0.200001,42957,2,8
71,10,779,0.200004,43164,2,8
72,1,913,0.200001,36192,2,8
72,2,913,0.200003,41555,2,8
72,3,913,0.200004,44767,2,8
72,4,913,0.200004,45699,2,8
72,5,913,0.200002,45720,2,8
72,6,913,0.200004,41073,2,8
72,7,913,0.200002,43029,2,8
72,8,913,0.200003,43397,2,8
72,9,913,0.200003,42170,2,8
72,10,913,0.200003,40712,2,8
73,1,902,0.200017,31444,2,8
73,2,902,0.200002,35715,2,8
73,3,902,0.200004,39146,2,8
73,4,902,0.200007,36857,2,8
73,5,902,0.200115,41521,2,8
73,6,902,0.200003,40344,2,8
73,7,902,0.200003,44024,2,8
73,8,902,0.200002,44411,2,8
73,9,902,0.200001,43771,2,8
73,10,902,0.200001,41837,2,8
74,1,735,0.200005,41892,2,8
74,2,735,0.200004,40088,2,8
74,3,735,0.200003,46833,2,8
74,4,735,0.2,44442,2,8
74,5,735,0.200004,46279,2,8
74,6,735,0.200004,41180,2,8
74,7,735,0.200003,46388,2,8
74,8,735,0.200004,47040,2,8
74,9,735,0.200003,44713,2,8
74,10,735,0.200002,47412,2,8
75,1,549,0.200003,37781,2,8
75,2,549,0.200006,39586,2,8
75,3,549,0.200004,40781,2,8
75,4,549,0.200002,34787,2,8
75,5,549,0.2,41081,2,8
75,6,549,0.200004,39469,2,8
75,7,549,0.201751,41916,2,8
75,8,549,0.200001,39328,2,8
75,9,549,0.200004,38086,2,8
75,10,549,0.200003,43294,2,8
76,1,584,0.200005,36594,2,8
76,2,584,0.200005,39175,2,8
76,3,584,0.200004,42033,2,8
76,4,584,0.200005,41213,2,8
76,5,584,0.200005,41564,2,8
76,6,584,0.200004,43117,2,8
76,7,584,0.200002,44441,2,8
76,8,584,0.200006,41890,2,8
76,9,584,0.200001,41787,2,8
76,10,584,0.200003,39036,2,8
77,1,596,0.200003,36879,2,8
77,2,596,0.200124,43185,2,8
77,3,596,0.200005,42386,2,8
77,4,596,0.200002,37459,2,8
77,5,596,0.200002,42171,2,8
77,6,596,0.200006,36415,2,8
77,7,596,0.200004,42063,2,8
