Instance,Run,Objective,Runtime,Iterations
84,5,698,0.200002,50730
84,6,698,0.200003,43262
84,7,698,0.200023,48057
84,8,698,0.200016,47073
84,9,698,0.200003,48385
84,10,698,0.200004,47619
85,1,619,0.200004,41103
85,2,619,0.200001,37804
85,3,619,0.200003,46359
85,4,619,0.200005,44844
85,5,619,0.200001,49578
85,6,619,0.200004,46534
85,7,619,0.200001,50093
85,8,619,0.200003,50545
85,9,619,0.200002,41725
85,10,619,0.200006,48126
86,1,598,0.200004,51539
86,2,598,0.200012,41889
86,3,598,0.200004,45441
86,4,598,0.200002,41477
86,5,598,0.200002,49103
86,6,598,0.200001,49285
86,7,598,0.200001,47762
86,8,598,0.200003,38368
86,9,598,0.200003,43927
86,10,598,0.200001,50810
87,1,789,0.200004,40018
87,2,789,0.200001,46937
87,3,789,0.200004,41202
87,4,789,0.200003,30516
87,5,789,0.200005,38787
87,6,789,0.200005,37841
87,7,789,0.200001,48525
87,8,789,0.200001,44324
87,9,789,0.2,46721
87,10,789,0.2,44560
88,1,1206,0.200002,52222
88,2,1206,0.200002,54835
88,3,1206,0.200003,49021
88,4,1206,0.200003,49298
88,5,1206,0.200004,51464
88,6,1206,0.200004,54603
88,7,1206,0.200002,53254
88,8,1206,0.200002,43540
88,9,1206,0.200004,50318
88,10,1206,0.200001,53915
89,1,839,0.200002,48314
89,2,839,0.200008,45674
89,3,839,0.200006,37677
89,4,839,0.200005,37239
89,5,839,0.200085,46648
89,6,839,0.200004,48007
89,7,839,0.200034,47235
89,8,839,0.200008,36638
89,9,839,0.200001,43367
89,10,839,0.200001,46288
90,1,785,0.200004,45805
90,2,785,0.200003,48828
90,3,785,0.200004,46472
90,4,785,0.200003,46048
90,5,785,0.200004,54024
90,6,785,0.200001,55018
90,7,785,0.200003,54351
90,8,785,0.200002,54610
90,9,785,0.200004,50686
90,10,785,0.200021,50629
91,1,1413,0.200001,41842
91,2,1413,0.200002,42834
91,3,1413,0.200003,44613
91,4,1413,0.200004,39755
91,5,1413,0.200002,45488
91,6,1413,0.200005,46667
91,7,1413,0.200004,47885
91,8,1413,0.200003,46140
91,9,1413,0.200001,45392
91,10,1413,0.200005,46398
92,1,898,0.200003,50253
92,2,898,0.200002,48528
92,3,898,0.200003,48037
92,4,898,0.200003,51365
92,5,898,0.200001,45762
92,6,898,0.200002,50252
92,7,898,0.200004,54604
92,8,898,0.200003,46333
92,9,898,0.200002,48732
92,10,898,0.200002,38413
93,1,858,0.200002,42727
93,2,858,0.200019,36207
93,3,858,0.200003,47294
93,4,858,0.200004,52274
93,5,858,0.200002,49612
93,6,858,0.200002,48779
93,7,858,0.200011,43143
93,8,858,0.200004,42949
93,9,858,0.200001,45315
93,10,858,0.200004,45248
94,1,855,0.200002,46103
94,2,855,0.200001,42992
94,3,855,0.200016,46597
94,4,855,0.200003,46568
94,5,855,0.200004,44504
94,6,855,0.200002,49629
94,7,855,0.200003,42922
94,8,855,0.200001,41904
94,9,855,0.200003,50650
94,10,855,0.200001,50242
95,1,961,0.200001,51116
95,2,961,0.200003,42007
95,3,961,0.200001,42499
95,4,961,0.200002,51254
95,5,961,0.200001,46906
95,6,961,0.200002,54081
95,7,961,0.200001,51947
95,8,961,0.200001,45954
95,9,961,0.200001,46472
95,10,961,0.200002,49206
96,1,526,0.200003,46558
96,2,526,0.200003,44758
96,3,526,0.200001,49382
96,4,526,0.200001,50262
96,5,526,0.200002,42776
96,6,526,0.200001,47097
96,7,526,0.200005,51005
96,8,526,0.200003,47926
96,9,526,0.200006,44358
96,10,526,0.200018,41952
97,1,2060,0.200001,51455
97,2,2060,0.200002,50877
97,3,2060,0.2,50241
97,4,2060,0.200001,49885
97,5,2060,0.200002,48256
97,6,2060,0.200004,48485
97,7,2060,0.200002,44902
97,8,2060,0.200002,45551
97,9,2060,0.200049,51102
97,10,2060,0.200003,51584
98,1,940,0.200002,53281
98,2,940,0.200002,54051
98,3,940,0.200001,53943
98,4,940,0.200003,53685
98,5,940,0.200002,54184
98,6,940,0.200001,52918
98,7,940,0.200002,39177
98,8,940,0.200005,42793
98,9,940,0.200003,48002
98,10,940,0.200002,46989
99,1,937,0.200002,41306
99,2,937,0.200003,43761
99,3,937,0.200003,50276
99,4,937,0.200002,45376
99,5,937,0.200003,48185
99,6,937,0.200004,46952
99,7,937,0.200002,45141
